Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/users,18566,1233,201,1675,482.95,0.000%,301.18097,75.00,44.12,255.0
TOTAL,18566,1233,201,1675,482.95,0.000%,301.18097,75.00,44.12,255.0
