Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/users/aggregate,6685,3546,204,4876,1530.20,0.000%,103.16040,36.67,16.12,364.0
TOTAL,6685,3546,204,4876,1530.20,0.000%,103.16040,36.67,16.12,364.0
