Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/users,52754,429,201,644,137.05,0.000%,871.56357,148.10,127.67,174.0
TOTAL,52754,429,201,644,137.05,0.000%,871.56357,148.10,127.67,174.0
