Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/users/aggregate,3714,614,604,634,3.35,0.000%,61.29016,12.57,9.58,210.0
TOTAL,3714,614,604,634,3.35,0.000%,61.29016,12.57,9.58,210.0
