Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/users,52461,431,201,657,143.77,0.000%,865.45029,147.06,126.77,174.0
TOTAL,52461,431,201,657,143.77,0.000%,865.45029,147.06,126.77,174.0
