Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/users,1024,32485,1414,61659,15801.73,16.992%,9.75173,1.79,1.43,187.6
TOTAL,1024,32485,1414,61659,15801.73,16.992%,9.75173,1.79,1.43,187.6
