Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/users,1956,14120,407,20535,6747.55,0.000%,24.33048,2.28,3.56,96.0
TOTAL,1956,14120,407,20535,6747.55,0.000%,24.33048,2.28,3.56,96.0
