Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/users,109144,206,200,253,3.75,0.000%,1812.72214,169.94,265.54,96.0
TOTAL,109144,206,200,253,3.75,0.000%,1812.72214,169.94,265.54,96.0
